ItemType,Domain,CreatedAt,ItemID,Recommendable,URL,Title,category,text,keywords,categories
Document,418,2001-08-26 06:57:05,97592046,false,http://www.ksta.de/region/toleranz-training-nach-noten 15189102 14563704.html,Toleranz-Training nach Noten,2879993,Die Dezibelzahl war ohrenbetäubend  die Botschaft eindeutig: Um Spaß  Musik und darum  miteinander etwas Großes auf die Beine zu stellen  ging es beim Lei-F-Style-Open-Air  das am...,,0#34#2879993
Document,418,2001-08-27 06:34:01,259299555,false,http://www.ksta.de/politik/die-volksfront-fuer-die-befreiung-palaestinas 15187246 14562948.html,Die Volksfront für die Befreiung Palästinas,0,Die Volksfront für die Befreiung Palästinas (PFLP) wurde 1967 von gegründet. Sie ist marxistisch-leninistisch orientiert und lehnt den Friedensprozess mit Israel entschieden ab...,,0#20
Document,418,2001-10-04 12:47:35,133125713,false,http://www.ksta.de/sport/niklas-schneider-wusste-zu-ueberzeugen 15189364 14546012.html,Niklas Schneider wusste zu überzeugen,2881177,Spannende Gefechte beim 13. Internationaen Tolbiac-Florett-Turnier und bei den Rheinischen Senioren-Einzellandesmeisterschaften in Zülpich.,,0#2881177#2
Document,418,2001-10-25 04:10:58,101548478,false,http://www.ksta.de/archiv/prozess-um-zugunglueck-von-bruehl-eingestellt 16592382 14535864.html,Prozess um Zugunglück von Brühl eingestellt,2879385,Das spektakuläre Zugunglück von Brühl mit neun Toten und 149 Verletzten bleibt strafrechtlich ungesühnt. Das Kölner Landgericht stellte am Donnerstag nach knapp fünfmonatigem Prozess das Verfahren wegen geringer Schuld der vier Angeklagten ein.,,2879385#0#41
Document,418,2001-11-03 06:27:24,257971275,false,http://www.ksta.de/archiv/mehreinsatz-der-linie-19-geht-zu-lasten-anderer-bereiche 16592382 14531652.html?originalReferrer=https://www.google.de,Mehreinsatz der Linie 19 geht zu Lasten anderer Bereiche,0,Als ich vor einigen Jahren aus meiner Heimatstadt Köln nach Hermülheim zog  war ich von der Idee einer direkten Straßenbahnverbindung in die Kölner City sehr angetan.,,0
Document,418,2001-11-15 05:54:55,89102479,false,http://www.ksta.de/koeln/--132wir-wollen-einen-kleinen-frank--148 15187530 14525010.html,&#132Wir wollen einen kleinen Frank&#148,2875514,Frank Fußbroich wird seine Freundin Claudia Anfang des Jahres heiraten - auf dem Standesamt im Historischen Rathaus.,,0#2875514#31
Document,418,2001-12-20 06:16:18,263283273,false,http://www.ksta.de/region/reptilien-im-stich-gelassen 15189102 14506644.html,Reptilien im Stich gelassen,0,Das Terrarium Tropical Fauna wurde vom Kreisveterinäramt und dem Ordnungsamt geräumt.,,0#34
Document,418,2002-01-07 05:17:34,259474094,false,http://www.ksta.de/region/-traumhafte-kennzahlen- 15189102 14500426.html,Traumhafte Kennzahlen,0,In Sachen Standortqualität liegt die Stadt Bonn im bundesweiten Vergleich auf einem Spitzenplatz. Dies belegt eine neuerliche Untersuchung.,,0#34
Document,418,2002-01-13 05:43:50,128335590,false,http://www.ksta.de/kultur/--132ich-koennte-nicht-anders-leben--148 15189520 14497408.html?sa=X&ved=0ahUKEwiNkrOVmfXKAhXGKJoKHTmZDGkQ_h0IKzAH,&#132Ich könnte nicht anders leben&#148,2880191,Theater gehört zu ihrem Leben. Aber auch die Familie. Ingrid Andree spricht über sich und die Welt.,,0#2880191
Document,418,2002-03-27 06:36:13,134189357,false,http://www.ksta.de/koeln/buehne-frei-fuer-koelschen-kluengel 15187530 14456648.html,Bühne frei für kölschen Klüngel,2875514,Kölner Skandale waren schon immer die Süffigsten. Jetzt befasst sich ein Theaterstück mit der legendären Herstatt-Pleite: Sechs junge Bankmitarbeiter - die so genannten Goldjungs - hatten Anfang der Mitte der 70-er Jahre mit ungedeckten Milliardenbeträgen,,0#2875514#31
Document,418,2002-05-22 12:27:39,124624171,false,http://www.ksta.de/archiv/schoepferin-gewaltiger--nanas----niki-de-saint-phalle-gestorben 16592382 14428498.html,Schöpferin gewaltiger "Nanas" - Niki de Saint Phalle gestorben,2879385,Unauffälliges hat die Künstlerin Niki de Saint Phalle  die jetzt nach schwerer Krankheit im Alter von 71 Jahren in San Diego in den USA gestorben ist  nie geschaffen. Ihre Monster- Frauen  die "Nanas"  sind überdimensionierte  ebenso bunte wie üppig verlo,,2879385#0#41
Document,418,2002-06-24 07:02:10,86561854,false,http://www.ksta.de/archiv/deutsche-sind-1953-fuer-westintegration 16592382 13828680.html,Deutsche sind 1953 für Westintegration,2879385,Der Wahlkampf 1953 wird überschattet vom Aufstand in der DDR am 17. Juni. Die Wähler im Westen glauben nicht mehr an die Versprechen der SED und der UdSSR zur Wiedervereinigung. Mit der Angst vor der kommunistischen Bedrohung wächst die Zustimmung für Kon,,2879385#0#41
Document,418,2002-07-12 06:51:53,88741256,false,http://www.ksta.de/koeln/frank-fussbroich-wegen-hehlerei-verurteilt 15187530 14399856.html,Frank Fussbroich wegen Hehlerei verurteilt,2875514,Ein paar Paletten gestohlenen Kaffees haben den prominenten TV-Sohn auf die Anklagebank gebracht. Polizisten hatten den Deal mit dem Diebesgut beobachtet.,,0#2875514#31
Document,418,2002-10-20 05:58:26,140076324,false,http://www.ksta.de/region/jubilaeumsrennen-war-gleichzeitig-das-letzte 15189102 14349432.html,Jubiläumsrennen war gleichzeitig das letzte,2879993,Zur Tradition geworden war der Drei-Flüsse-Lauf. Doch der 25. Lauf entlang Dhünn  Wupper und Rhein war der letzte.,,0#34#2879993
Document,418,2002-11-15 09:43:00,126677549,false,http://www.ksta.de/wir-helfen/talismane-fuer--wir-helfen--versteigert 15189124 14335458.html,Talismane für „Wir helfen“ versteigert,2880273,Das rege Interesse im studio dumont konnte nicht wirklich überraschen. Denn es ging am Freitagabend dort um eine Schmuck-Versteigerung der außergewöhnlichen Art: Prominente Persönlichkeiten hatten für "wir helfen" und unicef Erinnerungsstücke und Reisemit,,0#198#2880273
Document,418,2002-12-12 06:27:35,127076849,false,http://www.ksta.de/region/mit-staubsauger-beim-frisoer 15189102 14321842.html,Mit Staubsauger beim Frisör,2879993,Timothy J. Creamer brachte die Schüler der Clemens-August-Hauptschule zum Staunen.,,0#34#2879993
Document,418,2003-02-03 04:51:41,133635891,false,http://www.ksta.de/region/jetzt-stuermen-sie-wieder-die-haenge-und-pisten 15189102 14298362.html,Jetzt stürmen sie wieder die Hänge und Pisten,2879993,Die Saison im Skigebiet Reichshof-Eckenhagen am Blockhaus hat begonnen. Tausende von Ausflüglern schätzen die Region wegen der relativen Nähe zu den Ballungszentren.,,0#34#2879993
Document,418,2003-02-05 06:31:50,98220038,false,http://www.ksta.de/koeln/-jeck-live------mit-ute-geller-von-coloer 15187530 14297042.html,„Jeck live ...” mit Ute Geller von Colör,2875514,Bevor die Schriftenmalerin 1998 Kölns erste Girl-Band gründete  trat die 38-Jährige - gezeugt in Montafontal im Skiurlaub  geboren in Lindenthal und russisches Blut in den Adern - mit ihrem Vater als „Bass und Bässje“ auf.,,0#2875514#31
Document,418,2003-02-20 05:49:55,117678450,false,http://www.ksta.de/archiv/liedermacher-ulrich-roski-starb-58-jaehrig-in-berlin 16592382 14289604.html,Liedermacher Ulrich Roski starb 58-jährig in Berlin,2879385,Deutschland trauert um den "Kleinen Mann von der Straße": Der Liedermacher Ulrich Roski  dessen Lied über Nöte und Freuden des Alltags ein Hit der siebziger Jahre war  ist tot. Der Autor dutzender Songs starb nach langer Krankheit in der Nacht zum Donners,,2879385#0#41
Document,418,2003-03-06 04:27:31,105744779,false,http://www.ksta.de/region/credo-der-klaren-linie 15189102 14282912.html,Credo der klaren Linie,2879993,Die baulichen Visitenkarten des Architekten Pal Dévény - wie Kreishaus oder Gumbala - sind in der ganzen Republik zu finden.,,0#34#2879993
Document,418,2003-03-10 04:20:35,130175595,false,http://www.ksta.de/region/bedrueckende-botschaft-aus-usa-ueberbracht 15189102 14281176.html,Bedrückende Botschaft aus USA überbracht,2879993,Eine große Anzahl Bürger hat offenbar großes Interesse am Thema Todesstrafe.,,0#34#2879993
